sagoNo,sido,sigungu,sagoReason,sagoDate,dong,addr,sagoLat,sagoLon,sinkWidth,sinkExtend,sinkDepth,grdKind,sagoDetail,deathCnt,injuryCnt,vehicleCnt,trStatus,trMethod,trAmt,trFnDate,daStDate,full_addr,lon,lat,geo_query,geo_method,geo_level,x_5187,y_5187
20180026,부산광역시,해운대구,하수관 손상,20180126,,좌동순환로 419 앞,0E-10,0E-10,1.00,4.00,1.00,,하수관 손상,0,0,0,복구완료,되메우기 후 원상복구,0,20180126,20190630,좌동순환로 419 앞,129.175024521484,35.1615878122937,부산광역시 해운대구 좌동순환로 419,address,번지,215946.2,285035.79
20180038,부산광역시,수영구,다짐(되메우기) 불량,20180220,,광안로 성원쌍떼빌 앞(광안역2번 출구),0E-10,0E-10,1.50,1.50,0.70,,다짐(되메우기) 불량,0,0,0,복구완료,침하부분 되메우기 및 포장 복구 완료,0,20180220,20181231,광안로 성원쌍떼빌 앞(광안역2번 출구),129.113125189096,35.1455383782307,부산광역시 수영구,address,번지,210308.68,283247.05
20180047,부산광역시,중구,기타,20180307,영주동,모노레일 삼거리,0E-10,0E-10,1.00,1.00,1.00,,기타,0,0,0,복구완료,아스팔트 포장 완료,0,20180328,20190630,영주동 모노레일 삼거리,129.03186170110828,35.1093905698861,부산광역시 중구 영주동 모노레일,keyword,번지,202904.72,279231.31
20180048,부산광역시,해운대구,하수관 손상,20180307,,청사포로 126번길 6 일원,0E-10,0E-10,1.20,2.00,0.50,,하수관 손상,0,0,0,복구완료,개착 정비후 원상복구,0,20180307,20190630,청사포로 126번길 6 일원,129.188882861476,35.1623784634267,부산광역시 해운대구 청사포로,address,번지,217208.65,285125.82
20180050,부산광역시,사하구,기타매설공사 부실,20180308,하단동,하단오거리 교차로,0E-10,0E-10,1.00,1.00,3.00,,기타매설공사 부실,0,0,1,복구완료,부산교통공사에서 되메우기 및 포장 복구 완료,0,20180309,00010101,하단동 하단오거리 교차로,128.96745833571,35.1054445328909,부산광역시 사하구 하단동 하단오거리,keyword,번지,197033.15,278793.55
20180068,부산광역시,연제구,상수관 손상,20180319,,거제시장로 14번길 28,0E-10,0E-10,1.00,1.50,1.50,,상수관 손상,0,0,0,복구완료, 상수관 누수 구간 단수 조치 후 복구 완료,0,20180319,20181231,거제시장로 14번길 28,129.072153925174,35.1810381954891,부산광역시 연제구 거제시장로 14,address,번지,206572.26,287182.05
20180075,부산광역시,사하구,기타,20180328,,무지개공단 내 도로(장림1동),0E-10,0E-10,1.00,1.00,1.00,,기타,0,0,0,복구완료,현장확인 후 되메우기 및 포장 복구 완료,0,20180328,20181231,무지개공단 내 도로(장림1동),128.974932970701,35.1044479031517,부산광역시 사하구,address,번지,197714.59,278682.78
20180078,부산광역시,부산진구,상수관 손상,20180329,,서전로 41 도요코인 호텔 앞,0E-10,0E-10,2.00,7.00,1.50,,상수관 손상,0,0,0,복구완료,부산진상수도사업소 복구완료,0,20180329,20180630,서전로 41 도요코인 호텔 앞,129.064386827027,35.1579757517747,부산광역시 부산진구 서전로 41,address,번지,205866.44,284622.93
20180084,부산광역시,사하구,상수관 손상,20180404,,다대몰운대아파트207동 앞(다대1동),0E-10,0E-10,1.00,1.20,0.50,,상수관 손상,0,0,0,복구완료,사하상수도사업소에서 수도관로 보수 후 포장 복구 완료,0,20180405,20181231,다대몰운대아파트207동 앞(다대1동),128.96274615393605,35.05776866672457,부산광역시 사하구 다대몰운대아파트207,keyword,번지,196601.56,273504.44
20180090,부산광역시,동래구,기타,20180411,,반송로 202(cu편의점 일원),0E-10,0E-10,2.00,2.50,1.50,,기타,0,0,0,복구완료,확인굴착 시행 및 복구,0,20180411,20180630,반송로 202(cu편의점 일원),129.097283847163,35.1988713541088,부산광역시 동래구 반송로 202,address,번지,208859.33,289162.48
20180099,부산광역시,남구,하수관 손상,20180419,,유엔로84번길 71-12,0E-10,0E-10,1.00,2.00,0.50,,하수관 손상,0,0,0,복구완료,하수관 교체 및 복구완료,0,20180425,20180630,유엔로84번길 71-12,129.085927415484,35.1285848215935,부산광역시 남구 유엔로84,address,번지,207831.87,281363.69
20180105,부산광역시,연제구,상수관 손상,20180421,,월드컵대로 224,0E-10,0E-10,1.00,1.90,0.25,,상수관 손상,0,0,0,복구완료,상수관 누수 구간 단수 조치 후 복구 완료,0,20180422,20181231,월드컵대로 224,129.073320770712,35.1888389917444,부산광역시 연제구 월드컵대로,address,번지,206677.91,288047.58
20180112,부산광역시,해운대구,다짐(되메우기) 불량,20180501,우동,운촌삼거리 일원,0E-10,0E-10,1.00,1.00,1.00,,다짐(되메우기) 불량,0,0,0,복구완료,확인굴착 후 원상복구,0,20180501,20190630,우동 운촌삼거리 일원,129.149325026226,35.1606894732142,부산광역시 해운대구 우동 운촌삼거리,keyword,번지,213604.91,284932.31
20180136,부산광역시,동래구,기타매설물 손상,20180530,온천동,1646 ( 백옥사우나 일원),0E-10,0E-10,1.00,2.00,1.00,,기타매설물 손상,0,0,0,복구완료,되메우기 및 도로재포장 완료,0,20180601,20180630,온천동 1646 ( 백옥사우나 일원),129.058768380716,35.2042859995421,부산광역시 동래구 온천동 1646,address,번지,205351.49,289760.45
20180137,부산광역시,사상구,하수관 손상,20180530,,장인로 77번길 33,0E-10,0E-10,4.00,8.00,1.00,,하수관 손상,0,0,0,복구완료,BTL 사업구간의 맨홀 인상 후 균열발생 및 침하 발생 구간 전체 재포장 완료,0,20180601,20181231,장인로 77번길 33,128.977697928778,35.1422594921246,부산광역시 사상구 장인로 77,address,번지,197967.61,282877.65
20180158,부산광역시,부산진구,다짐(되메우기) 불량,20180608,,신천대로 246 메리움 아파트 옆 이면도로,0E-10,0E-10,1.60,1.50,1.50,,다짐(되메우기) 불량,0,0,0,복구완료,현장 확인 즉시 자체 복구 완료 및 향후 예찰 활동 강화,0,20180608,20180630,신천대로 246 메리움 아파트 옆 이면도로,129.050961104127,35.1638104545377,부산광역시 부산진구 신천대로 246,address,번지,204642.86,285269.54
20180174,부산광역시,연제구,다짐(되메우기) 불량,20180619,,배산로 24-1,0E-10,0E-10,1.00,1.00,0.80,,다짐(되메우기) 불량,0,0,0,복구완료,굴착부분 되메우기 재시공 및 포장 복구 완료,0,20180620,20190630,배산로 24-1,129.094832108707,35.1739876844185,부산광역시 연제구 배산로 24-1,address,번지,208638.69,286401.57
20180195,부산광역시,사하구,하수관 손상,20180701,,반도보라아파트 102동 앞 ,0E-10,0E-10,1.50,3.00,1.50,,하수관 손상,0,0,0,복구완료,반도보라 측에서 하수관보수 및 포장복구 완료,0,20180702,20181231,반도보라아파트 102동 앞,128.97860489281157,35.1375226791403,부산광역시 사하구 반도보라아파트 102,keyword,번지,198050.15,282352.11
20180203,부산광역시,동래구,기타,20180711,,번영로 서울방향 원동IC 300m 지난지점 1차로,0E-10,0E-10,3.50,3.50,3.60,,기타,0,0,0,복구완료,"응급복구 완료(2018.7.11)
지반침하위험도평가 완료(2018.12.11)
도로 함몰부 항구복구 추진(2019년 이후)",0,20180711,20180630,번영로 서울방향 원동IC 300m 지난지점 1차로,129.083719021169,35.2050915314732,부산광역시 동래구,address,도로/동,207623.44,289851.45
20180211,부산광역시,연제구,다짐(되메우기) 불량,20180716,,중앙대로1028,0E-10,0E-10,1.00,1.00,0.50,,다짐(되메우기) 불량,0,0,0,복구완료,굴착부분 되메우기 재시공 및 포장 복구 완료,0,20180716,20190630,중앙대로1028,129.077435631797,35.1802102660518,부산광역시 연제구 중앙대로1028,address,번지,207053.42,287090.56
