sagoNo,sido,sigungu,sagoReason,sagoDate,no
20220006,인천광역시,미추홀구,,20161201,1
20180001,서울특별시,강남구,,20180301,1
20180002,서울특별시,송파구,상수관 손상,20180304,2
20180003,서울특별시,구로구,기타매설물 손상,20180311,3
20180004,서울특별시,영등포구,하수관 손상,20180313,4
20180005,서울특별시,영등포구,하수관 손상,20180327,5
20180006,서울특별시,영등포구,하수관 손상,20180328,6
20180007,서울특별시,도봉구,하수관 손상,20180425,7
20180008,서울특별시,강남구,하수관 손상,20180426,8
20180009,서울특별시,용산구,하수관 손상,20180428,9
20180010,서울특별시,구로구,기타매설공사 부실,20180624,10
20180011,서울특별시,관악구,하수관 손상,20180717,11
20180012,서울특별시,중구,상수관 손상,20180717,12
20180013,서울특별시,강남구,다짐(되메우기) 불량,20180815,13
20180014,서울특별시,종로구,하수관 손상,20180904,14
20180015,서울특별시,강북구,하수관 손상,20180904,15
20180016,서울특별시,동작구,하수관 손상,20181202,16
20180017,서울특별시,강서구,하수관 손상,20181209,17
20180018,전북특별자치도,정읍시,기타매설물 손상,20180102,18
20180019,광주광역시,광산구,하수관 손상,20180103,19
20180020,경상남도,사천시,다짐(되메우기) 불량,20180112,20
20180021,충청북도,청주시 흥덕구,하수관 손상,20180116,21
20180022,광주광역시,광산구,하수관 손상,20180122,22
20180023,광주광역시,광산구,하수관 손상,20180122,23
20180024,울산광역시,울주군,기타,20180124,24
20180025,경기도,군포시,다짐(되메우기) 불량,20180125,25
20180026,부산광역시,해운대구,하수관 손상,20180126,26
20180027,강원특별자치도,원주시,상수관 손상,20180128,27
20180028,강원특별자치도,원주시,상수관 손상,20180128,28
20180029,강원특별자치도,원주시,상수관 손상,20180131,29
20180030,강원특별자치도,원주시,상수관 손상,20180201,30
20180031,충청북도,청주시 상당구,하수관 손상,20180201,31
20180032,경기도,부천시,하수관 손상,20180206,32
20180033,경기도,부천시,하수관 손상,20180206,33
20180034,충청북도,청주시 흥덕구,하수관 손상,20180207,34
20180035,광주광역시,광산구,하수관 손상,20180209,35
20180036,경기도,부천시,하수관 손상,20180209,36
20180037,충청북도,청주시 흥덕구,하수관 손상,20180219,37
20180038,부산광역시,수영구,다짐(되메우기) 불량,20180220,38
20180039,경기도,부천시,다짐(되메우기) 불량,20180221,39
20180040,경기도,부천시,하수관 손상,20180221,40
20180041,경기도,부천시,다짐(되메우기) 불량,20180221,41
20180042,경상남도,거제시,기타매설물 손상,20180226,42
20180043,충청북도,음성군,기타매설물 손상,20180301,43
20180044,경상남도,사천시,하수관 손상,20180302,44
20180045,강원특별자치도,원주시,상수관 손상,20180304,45
20180046,경기도,부천시,기타매설물 손상,20180305,46
20180047,부산광역시,중구,기타,20180307,47
20180048,부산광역시,해운대구,하수관 손상,20180307,48
20180049,경기도,고양시 일산동구,하수관 손상,20180307,49
20180050,부산광역시,사하구,기타매설공사 부실,20180308,50
20180051,경기도,부천시,하수관 손상,20180309,51
20180052,경기도,부천시,하수관 손상,20180309,52
20180053,충청북도,청주시 청원구,상수관 손상,20180310,53
20180054,강원특별자치도,강릉시,기타,20180312,54
20180055,경상남도,사천시,다짐(되메우기) 불량,20180312,55
20180057,경기도,부천시,기타매설물 손상,20180312,56
20180058,경기도,부천시,기타매설공사 부실,20180312,57
20180059,대구광역시,남구,기타매설공사 부실,20180313,58
20180060,경기도,부천시,하수관 손상,20180313,59
20180061,경기도,부천시,다짐(되메우기) 불량,20180313,60
20180062,경기도,부천시,기타매설물 손상,20180313,61
20180063,경기도,부천시,다짐(되메우기) 불량,20180313,62
20180064,전라남도,완도군,기타,20180315,63
20180065,경기도,부천시,하수관 손상,20180315,64
20180066,경기도,부천시,다짐(되메우기) 불량,20180315,65
20180067,경상북도,포항시 북구,기타,20180316,66
20180068,부산광역시,연제구,상수관 손상,20180319,67
20180069,경기도,양주시,기타매설공사 부실,20180319,68
20180070,강원특별자치도,원주시,다짐(되메우기) 불량,20180321,69
20180071,충청북도,청주시 청원구,하수관 손상,20180322,70
20180072,전라남도,목포시,기타,20180325,71
20180073,충청북도,청주시 청원구,하수관 손상,20180326,72
20180074,전라남도,해남군,기타,20180326,73
20180075,부산광역시,사하구,기타,20180328,74
20180076,울산광역시,울주군,상수관 손상,20180328,75
20180077,강원특별자치도,원주시,다짐(되메우기) 불량,20180329,76
20180078,부산광역시,부산진구,상수관 손상,20180329,77
20180079,세종특별자치시,-,하수관 손상,20180402,78
20180080,충청북도,청주시 청원구,하수관 손상,20180402,79
20180081,전북특별자치도,전주시 완산구,하수관 손상,20180402,80
20180082,경기도,부천시,기타,20180402,81
20180083,경상북도,경주시,다짐(되메우기) 불량,20180403,82
20180084,부산광역시,사하구,상수관 손상,20180404,83
20180085,충청북도,청주시 청원구,하수관 손상,20180404,84
20180086,광주광역시,광산구,하수관 손상,20180405,85
20180087,경기도,화성시,굴착공사 부실,20180408,86
20180088,전북특별자치도,전주시 완산구,하수관 손상,20180409,87
20180089,경상남도,김해시,상수관 손상,20180409,88
20180090,부산광역시,동래구,기타,20180411,89
20180091,광주광역시,광산구,하수관 손상,20180411,90
20180092,경상남도,사천시,다짐(되메우기) 불량,20180411,91
20180093,강원특별자치도,원주시,다짐(되메우기) 불량,20180413,92
20180094,대구광역시,중구,하수관 손상,20180414,93
20180095,경기도,여주시,다짐(되메우기) 불량,20180415,94
20180096,충청북도,청주시 청원구,하수관 손상,20180417,95
20180097,대구광역시,중구,다짐(되메우기) 불량,20180418,96
20180098,충청북도,옥천군,기타매설물 손상,20180418,97
20180099,부산광역시,남구,하수관 손상,20180419,98
20180100,대전광역시,서구,상하수관공사 부실,20180419,99
20180101,충청북도,청주시 흥덕구,하수관 손상,20180419,100
20180103,경상북도,영주시,하수관 손상,20180419,101
20180104,경기도,수원시 팔달구,다짐(되메우기) 불량,20180419,102
20180105,부산광역시,연제구,상수관 손상,20180421,103
20180106,충청북도,제천시,다짐(되메우기) 불량,20180423,104
20180107,충청북도,청주시 청원구,하수관 손상,20180424,105
20180108,강원특별자치도,고성군,하수관 손상,20180427,106
20180109,광주광역시,광산구,하수관 손상,20180427,107
20180110,강원특별자치도,원주시,상수관 손상,20180430,108
20180111,인천광역시,중구,다짐(되메우기) 불량,20180430,109
20180112,부산광역시,해운대구,다짐(되메우기) 불량,20180501,110
20180113,충청북도,청주시 상당구,하수관 손상,20180501,111
20180114,전라남도,신안군,다짐(되메우기) 불량,20180501,112
20180115,충청북도,청주시 청원구,하수관 손상,20180503,113
20180116,경상북도,포항시 남구,굴착공사 부실,20180508,114
20180117,광주광역시,광산구,하수관 손상,20180509,115
20180118,광주광역시,광산구,하수관 손상,20180509,116
20180119,인천광역시,미추홀구,상수관 손상,20180509,117
20180120,경상북도,포항시 북구,다짐(되메우기) 불량,20180510,118
20180121,충청북도,청주시 청원구,하수관 손상,20180511,119
20180122,광주광역시,북구,하수관 손상,20180512,120
20180123,광주광역시,광산구,하수관 손상,20180514,121
20180124,충청북도,청주시 서원구,하수관 손상,20180514,122
20180125,충청북도,제천시,다짐(되메우기) 불량,20180514,123
20180126,경상북도,상주시,다짐(되메우기) 불량,20180515,124
20180127,경기도,용인시 처인구,하수관 손상,20180515,125
20180128,경기도,남양주시,기타매설물 손상,20180516,126
20180129,광주광역시,광산구,하수관 손상,20180517,127
20180130,광주광역시,광산구,하수관 손상,20180517,128
20180131,강원특별자치도,원주시,다짐(되메우기) 불량,20180521,129
20180132,경상북도,영주시,하수관 손상,20180521,130
20180133,광주광역시,광산구,하수관 손상,20180525,131
20180134,충청북도,청주시 흥덕구,하수관 손상,20180525,132
20180135,강원특별자치도,원주시,다짐(되메우기) 불량,20180529,133
20180136,부산광역시,동래구,기타매설물 손상,20180530,134
20180137,부산광역시,사상구,하수관 손상,20180530,135
20180138,대구광역시,수성구,기타매설물 손상,20180530,136
20180139,충청북도,청주시 상당구,하수관 손상,20180530,137
20180140,충청북도,청주시 청원구,하수관 손상,20180530,138
20180141,강원특별자치도,원주시,상수관 손상,20180531,139
20180142,충청북도,청주시 서원구,하수관 손상,20180531,140
20180143,충청북도,청주시 청원구,하수관 손상,20180601,141
20180144,인천광역시,남동구,다짐(되메우기) 불량,20180603,142
20180145,세종특별자치시,-,하수관 손상,20180604,143
20180146,경기도,부천시,하수관 손상,20180604,144
20180147,경기도,부천시,하수관 손상,20180604,145
20180148,광주광역시,광산구,하수관 손상,20180605,146
20180149,전라남도,여수시,굴착공사 부실,20180605,147
20180150,인천광역시,중구,다짐(되메우기) 불량,20180605,148
20180151,충청북도,청주시 서원구,하수관 손상,20180606,149
20180152,충청북도,청주시 서원구,하수관 손상,20180606,150
20180153,울산광역시,동구,하수관 손상,20180607,151
20180154,충청북도,청주시 서원구,하수관 손상,20180607,152
20180155,전라남도,장성군,기타,20180607,153
20180156,인천광역시,서구,다짐(되메우기) 불량,20180607,154
20180157,경기도,안양시 동안구,하수관 손상,20180607,155
20180158,부산광역시,부산진구,다짐(되메우기) 불량,20180608,156
20180159,경기도,용인시 기흥구,하수관 손상,20180608,157
20180160,충청북도,청주시 상당구,하수관 손상,20180610,158
20180161,충청북도,청주시 서원구,하수관 손상,20180611,159
20180162,경기도,부천시,기타매설물 손상,20180611,160
20180163,광주광역시,광산구,하수관 손상,20180612,161
20180164,충청북도,청주시 청원구,하수관 손상,20180612,162
20180165,경기도,수원시 팔달구,상하수관공사 부실,20180613,163
20180166,충청북도,청주시 흥덕구,하수관 손상,20180614,164
20180167,경상북도,영주시,하수관 손상,20180614,165
20180168,경기도,수원시 팔달구,하수관 손상,20180614,166
20180169,강원특별자치도,원주시,다짐(되메우기) 불량,20180615,167
20180170,인천광역시,중구,하수관 손상,20180615,168
20180171,강원특별자치도,원주시,다짐(되메우기) 불량,20180618,169
20180172,인천광역시,부평구,하수관 손상,20180618,170
20180173,경기도,남양주시,하수관 손상,20180618,171
20180174,부산광역시,연제구,다짐(되메우기) 불량,20180619,172
20180175,광주광역시,광산구,하수관 손상,20180619,173
20180176,경기도,동두천시,다짐(되메우기) 불량,20180619,174
20180177,광주광역시,광산구,하수관 손상,20180620,175
20180178,전라남도,완도군,기타매설물 손상,20180620,176
20180179,경상북도,포항시 북구,기타,20180620,177
20180180,경기도,여주시,다짐(되메우기) 불량,20180620,178
20180181,충청북도,청주시 청원구,하수관 손상,20180621,179
20180182,충청북도,충주시,기타,20180621,180
20180183,경상북도,영주시,하수관 손상,20180621,181
20180184,충청북도,충주시,기타,20180624,182
20180185,광주광역시,광산구,하수관 손상,20180625,183
20180186,충청북도,청주시 청원구,하수관 손상,20180626,184
20180187,경기도,여주시,상하수관공사 부실,20180626,185
20180188,제주특별자치도,제주시,상하수관공사 부실,20180627,186
20180189,제주특별자치도,제주시,상하수관공사 부실,20180627,187
20180190,경기도,용인시 수지구,하수관 손상,20180627,188
20180191,경기도,부천시,하수관 손상,20180628,189
20180192,경기도,안양시 동안구,하수관 손상,20180628,190
20180193,충청북도,청주시 상당구,다짐(되메우기) 불량,20180630,191
20180194,경상북도,구미시,하수관 손상,20180630,192
20180195,부산광역시,사하구,하수관 손상,20180701,193
20180196,대전광역시,서구,하수관 손상,20180701,194
20180197,강원특별자치도,원주시,다짐(되메우기) 불량,20180703,195
20180198,대전광역시,서구,상하수관공사 부실,20180703,196
20180199,인천광역시,연수구,하수관 손상,20180704,197
20180200,강원특별자치도,원주시,다짐(되메우기) 불량,20180705,198
20180201,경상남도,진주시,하수관 손상,20180706,199
20180202,충청남도,공주시,상수관 손상,20180710,200
20180203,부산광역시,동래구,기타,20180711,201
20180205,강원특별자치도,원주시,상수관 손상,20180712,202
20180206,경상북도,포항시 북구,기타,20180712,203
20180207,경상북도,포항시 북구,기타,20180712,204
20180208,전북특별자치도,정읍시,기타매설물 손상,20180713,205
20180209,광주광역시,북구,상수관 손상,20180715,206
20180210,경기도,수원시 팔달구,다짐(되메우기) 불량,20180715,207
20180211,부산광역시,연제구,다짐(되메우기) 불량,20180716,208
20180212,경기도,부천시,하수관 손상,20180716,209
20180213,인천광역시,중구,하수관 손상,20180717,210
20180214,경기도,부천시,기타매설물 손상,20180717,211
20180215,경기도,부천시,하수관 손상,20180717,212
20180216,경상북도,포항시 북구,기타,20180718,213
20180217,부산광역시,수영구,기타,20180719,214
20180218,부산광역시,연제구,다짐(되메우기) 불량,20180720,215
20180219,전라남도,영광군,다짐(되메우기) 불량,20180720,216
20180220,부산광역시,북구,다짐(되메우기) 불량,20180723,217
20180221,경상북도,청도군,기타매설공사 부실,20180723,218
20180222,경기도,부천시,하수관 손상,20180723,219
20180223,경기도,부천시,기타매설물 손상,20180723,220
20180224,대구광역시,서구,상수관 손상,20180725,221
20180225,부산광역시,남구,기타,20180726,222
20180226,경기도,부천시,다짐(되메우기) 불량,20180726,223
20180227,강원특별자치도,삼척시,기타,20180801,224
20180228,경기도,부천시,다짐(되메우기) 불량,20180801,225
20180229,부산광역시,북구,하수관 손상,20180802,226
20180230,부산광역시,부산진구,굴착공사 부실,20180806,227
20180231,강원특별자치도,원주시,상수관 손상,20180808,228
20180232,강원특별자치도,원주시,상수관 손상,20180809,229
20180233,광주광역시,광산구,하수관 손상,20180809,230
20180235,인천광역시,부평구,상수관 손상,20180810,231
20180236,경기도,구리시,상하수관공사 부실,20180811,232
20180237,광주광역시,북구,기타매설물 손상,20180812,233
20180238,경기도,부천시,기타매설공사 부실,20180812,234
20180239,경상남도,진주시,하수관 손상,20180813,235
20180240,경기도,부천시,하수관 손상,20180815,236
20180241,경기도,고양시 일산서구,하수관 손상,20180816,237
20180242,경기도,용인시 기흥구,하수관 손상,20180817,238
20180243,경상북도,상주시,기타매설물 손상,20180818,239
20180244,부산광역시,연제구,상수관 손상,20180821,240
20180245,전라남도,순천시,다짐(되메우기) 불량,20180821,241
20180246,경기도,부천시,다짐(되메우기) 불량,20180822,242
