지점번호,연도수,기대시간수,행누락시간,강수결측시간,실제결측률,행누락률,NaN률
160,8,70128,144,909,1.5,0.21,1.3
296,6,45024,15,155,0.38,0.03,0.34
904,8,70128,385,438,1.17,0.55,0.62
910,8,70128,881,641,2.17,1.26,0.91
921,8,70128,158,413,0.81,0.23,0.59
923,8,70128,133,479,0.87,0.19,0.68
937,8,70128,434,744,1.68,0.62,1.06
938,8,70128,122,609,1.04,0.17,0.87
939,8,70128,64,572,0.91,0.09,0.82
940,8,70128,108,747,1.22,0.15,1.07
941,8,70128,55,428,0.69,0.08,0.61
942,8,70128,145,468,0.87,0.21,0.67
950,8,70128,845,634,2.11,1.2,0.9
968,3,18241,19,34,0.29,0.1,0.19
969,3,22513,127,129,1.14,0.56,0.57
