지점번호,연도,시간행수,기대시간수,행누락시간,강수결측시간,실제결측시간,실제결측률,유효시간비율,연강수합(mm),시간당30mm이상횟수,최대시간강수(mm),비고
160,2018,8743,8760,17,193,210,2.4,97.6,1348.0,0,29.0,
160,2019,8734,8760,26,81,107,1.22,98.78,1470.5,0,25.5,
160,2020,8783,8784,1,60,61,0.69,99.31,1923.5,6,51.0,
160,2021,8745,8760,15,37,52,0.59,99.41,1522.5,3,44.0,
160,2022,8760,8760,0,44,44,0.5,99.5,859.5,0,26.5,
160,2023,8753,8760,7,130,137,1.56,98.44,1967.5,1,37.5,
160,2024,8767,8784,17,188,205,2.33,97.67,1510.0,3,71.0,
160,2025,8699,8760,61,176,237,2.71,97.29,1092.0,5,45.0,
296,2020,1187,1200,13,7,20,1.67,98.33,76.0,0,19.0,개시
296,2021,8760,8760,0,1,1,0.01,99.99,1551.5,3,48.5,
296,2022,8760,8760,0,71,71,0.81,99.19,885.0,2,40.5,
296,2023,8758,8760,2,43,45,0.51,99.49,1987.5,5,68.0,
296,2024,8784,8784,0,33,33,0.38,99.62,1627.0,5,53.0,
296,2025,8760,8760,0,0,0,0.0,100.0,1116.8,3,39.9,
904,2018,8743,8760,17,2,19,0.22,99.78,1631.5,1,46.5,
904,2019,8760,8760,0,43,43,0.49,99.51,1600.0,2,39.0,
904,2020,8469,8784,315,61,376,4.28,95.72,2004.5,6,54.5,
904,2021,8707,8760,53,127,180,2.05,97.95,1675.0,5,64.5,
904,2022,8760,8760,0,70,70,0.8,99.2,941.5,2,47.5,
904,2023,8760,8760,0,18,18,0.21,99.79,2090.0,4,54.0,
904,2024,8784,8784,0,79,79,0.9,99.1,1658.0,3,49.5,
904,2025,8760,8760,0,38,38,0.43,99.57,1169.0,3,43.5,
910,2018,8484,8760,276,44,320,3.65,96.35,1739.0,2,34.5,
910,2019,8744,8760,16,36,52,0.59,99.41,1657.0,1,36.0,
910,2020,8777,8784,7,127,134,1.53,98.47,2130.0,6,75.0,
910,2021,8362,8760,398,80,478,5.46,94.54,1594.0,2,54.0,
910,2022,8719,8760,41,92,133,1.52,98.48,915.0,1,32.0,
910,2023,8734,8760,26,53,79,0.9,99.1,2189.0,6,67.0,
910,2024,8667,8784,117,70,187,2.13,97.87,1931.5,4,77.0,
910,2025,8760,8760,0,139,139,1.59,98.41,1061.0,2,34.0,
921,2018,8735,8760,25,51,76,0.87,99.13,1741.5,3,49.0,
921,2019,8747,8760,13,53,66,0.75,99.25,1439.0,1,48.0,
921,2020,8757,8784,27,67,94,1.07,98.93,1932.0,4,54.0,
921,2021,8757,8760,3,51,54,0.62,99.38,1590.0,4,56.5,
921,2022,8748,8760,12,79,91,1.04,98.96,826.5,1,37.0,
921,2023,8760,8760,0,66,66,0.75,99.25,2080.5,6,57.0,
921,2024,8776,8784,8,34,42,0.48,99.52,1836.0,7,59.0,
921,2025,8690,8760,70,12,82,0.94,99.06,1131.0,2,34.0,
923,2018,8684,8760,76,40,116,1.32,98.68,1349.0,0,24.0,
923,2019,8738,8760,22,57,79,0.9,99.1,1807.0,0,29.0,
923,2020,8764,8784,20,104,124,1.41,98.59,1926.0,5,69.5,
923,2021,8748,8760,12,33,45,0.51,99.49,1784.0,3,32.5,
923,2022,8757,8760,3,58,61,0.7,99.3,1057.5,2,33.5,
923,2023,8760,8760,0,96,96,1.1,98.9,2084.0,3,37.0,
923,2024,8784,8784,0,26,26,0.3,99.7,1719.5,1,31.5,
923,2025,8760,8760,0,65,65,0.74,99.26,1216.5,1,37.0,
937,2018,8602,8760,158,1,159,1.82,98.18,1698.5,1,33.0,
937,2019,8733,8760,27,88,115,1.31,98.69,1875.0,1,34.0,
937,2020,8644,8784,140,295,435,4.95,95.05,1745.0,3,83.0,
937,2021,8753,8760,7,59,66,0.75,99.25,1830.0,3,60.0,
937,2022,8756,8760,4,136,140,1.6,98.4,1085.5,1,38.0,
937,2023,8731,8760,29,145,174,1.99,98.01,2101.0,3,68.5,
937,2024,8715,8784,69,19,88,1.0,99.0,1745.5,5,70.0,
937,2025,8760,8760,0,1,1,0.01,99.99,1226.5,1,37.5,
938,2018,8732,8760,28,7,35,0.4,99.6,1666.5,0,29.0,
938,2019,8744,8760,16,61,77,0.88,99.12,1886.5,4,37.0,
938,2020,8729,8784,55,66,121,1.38,98.62,2160.5,6,52.5,
