지점번호,지점명,시작일,종료일,위도,경도,고도m,이전대비이동m,주소
160,부산(레),1993-03-04,2020-10-23,35.1188,129.0,518.46,0,부산광역시 서구 서대신동3가
160,구덕산,2005-05-12,,35.1188,129.0,518.46,0,
160,부산(레),2020-10-23,2025-09-17,35.1188,129.0,512.0,0,부산광역시 서구 서대신동3가
160,부산(레),2025-09-17,,35.1189,128.9999,549.15,14,부산광역시 서구 서대신동3가
296,북부산,2020-11-12,2023-01-11,35.2178,128.9602,3.0,0,부산광역시 강서구 대저1동
296,북부산,2023-01-11,2025-04-25,35.2178,128.9602,3.0,0,부산광역시 강서구 대저1동
296,북부산,2023-01-11,2024-07-18,35.2178,128.9602,3.0,0,부산광역시 강서구 대저1동
296,북부산,2024-07-18,,35.2178,128.9602,3.0,0,부산광역시 강서구 대저1동
296,북부산,2025-04-25,,35.2178,128.9602,3.0,0,부산광역시 강서구 대저1동
904,사상,2015-09-07,2019-12-10,35.137,128.9675,4.28,0,부산광역시 사상구 감전동
904,사상,2019-12-10,2020-10-31,35.137,128.9675,4.28,0,부산광역시 사상구 감전동
904,사상,2020-10-31,,35.1694,128.9751,0.73,3668,부산광역시 사상구 삼락동
910,영도,2010-07-23,2020-10-23,35.0661,129.0742,137.94,0,부산광역시 영도구 동삼동
910,영도,2020-10-23,2020-11-01,35.0661,129.0742,138.96,0,부산광역시 영도구 동삼동
910,영도,2020-11-01,2024-10-15,35.0661,129.0742,138.96,0,부산광역시 영도구 동삼동
910,영도,2024-10-15,,35.0661,129.0742,138.96,0,부산광역시 영도구 동삼동
921,가덕도,2011-08-03,2020-10-23,34.9931,128.8314,73.26,0,부산광역시 강서구 대항동
921,가덕도,2020-10-23,2024-10-13,34.9931,128.8314,75.63,0,부산광역시 강서구 대항동
921,가덕도,2024-10-13,,34.9931,128.8314,75.63,0,부산광역시 강서구 대항동
923,기장,2011-09-22,2020-10-23,35.275,129.2511,65.0,0,부산광역시 기장군 일광면 이천리
923,기장,2020-10-23,2021-07-23,35.2751,129.2511,65.99,11,부산광역시 기장군 일광면 이천리
923,기장,2021-07-23,,35.2751,129.2511,65.99,0,부산광역시 기장군 장안읍 길천리
937,해운대,2010-06-29,2020-10-23,35.1761,129.1624,62.98,0,부산광역시 해운대구 우동
937,해운대,2020-10-23,2023-11-01,35.1761,129.1624,63.72,0,부산광역시 해운대구 우동
937,해운대,2023-11-01,2024-11-30,35.1761,129.1624,63.72,0,부산광역시 해운대구 우동
937,해운대,2024-11-30,,35.1772,129.1607,81.87,197,부산광역시 해운대구 우동
938,부산진,2012-12-07,2020-10-15,35.1589,129.0192,114.0,0,부산광역시 부산진구 개금동
938,부산진,2020-10-15,,35.1589,129.0193,114.38,9,부산광역시 부산진구 개금동
939,금정구,2014-04-03,2020-06-12,35.2932,129.1035,53.11,0,부산광역시 금정구 두구동
939,금정구,2020-06-12,2020-10-14,35.2932,129.1035,53.11,0,부산광역시 금정구 두구동
939,금정구,2020-10-14,,35.2932,129.1035,49.26,0,부산광역시 금정구 두구동
940,동래,2014-11-14,2022-10-14,35.2091,129.0901,70.07,0,부산광역시 동래구 복천동
940,동래,2022-10-14,,35.2091,129.0901,70.07,0,부산광역시 동래구 복천동
941,북구,2015-10-01,2020-10-23,35.213,129.0026,5.52,0,부산광역시 북구 덕천동
941,북구,2020-10-23,,35.213,129.0026,6.94,0,부산광역시 북구 덕천동
942,대연,2009-05-15,2019-04-27,35.135,129.1045,14.86,0,부산광역시 남구 대연동
942,부산남구,2019-04-27,2020-10-23,35.1186,129.0883,121.2,2344,부산광역시 남구 감만동
942,부산남구,2020-10-23,2021-07-22,35.1186,129.0884,124.26,9,부산광역시 남구 감만동
942,부산남구,2021-07-22,,35.1186,129.0884,124.26,0,부산광역시 남구 감만동
950,사하,2011-12-08,2023-11-01,35.09,128.9839,127.0,0,부산광역시 사하구 신평동
950,사하,2023-11-01,2025-09-19,35.09,128.9839,127.0,0,부산광역시 사하구 신평동
950,사하,2025-09-19,,35.0901,128.9839,167.95,11,부산광역시 사하구 신평동
968,남항,2017-12-06,2020-01-31,35.081,129.045,78.58,0,부산광역시 영도구 신선동3가
969,북항,2017-12-06,2020-07-27,35.091,129.127,37.72,0,부산광역시 남구 용호동
