지점번호,지점명,위도,경도,노장해발고도m,현재주소,최초관측시작,관측종료,분석기간내_이력변경일,분석기간내_이설(일자:거리)
160,부산(레),35.1189,128.9999,549.15,부산광역시 서구 서대신동3가,1993-03-04,,2020-10-23;2025-09-17,
296,북부산,35.2178,128.9602,3.0,부산광역시 강서구 대저1동,2020-11-12,,2020-11-12;2023-01-11;2024-07-18;2025-04-25,
904,사상,35.1694,128.9751,0.73,부산광역시 사상구 삼락동,1991-03-08,,2019-12-10;2020-10-31,2020-10-31:3668m
910,영도,35.0661,129.0742,138.96,부산광역시 영도구 동삼동,1990-06-23,,2020-10-23;2020-11-01;2024-10-15,
921,가덕도,34.9931,128.8314,75.63,부산광역시 강서구 대항동,1992-12-17,,2020-10-23;2024-10-13,
923,기장,35.2751,129.2511,65.99,부산광역시 기장군 장안읍 길천리,1992-11-10,,2020-10-23;2021-07-23,
937,해운대,35.1772,129.1607,81.87,부산광역시 해운대구 우동,1994-12-16,,2020-10-23;2023-11-01;2024-11-30,
938,부산진,35.1589,129.0193,114.38,부산광역시 부산진구 개금동,1994-12-16,,2020-10-15,
939,금정구,35.2932,129.1035,49.26,부산광역시 금정구 두구동,1994-12-17,,2020-06-12;2020-10-14,
940,동래,35.2091,129.0901,70.07,부산광역시 동래구 복천동,1994-12-17,,2022-10-14,
941,북구,35.213,129.0026,6.94,부산광역시 북구 덕천동,1994-12-17,,2020-10-23,
942,부산남구,35.1186,129.0884,124.26,부산광역시 남구 감만동,1994-12-16,,2019-04-27;2020-10-23;2021-07-22,2019-04-27:2344m
950,사하,35.0901,128.9839,167.95,부산광역시 사하구 신평동,2001-09-15,,2023-11-01;2025-09-19,
968,남항,35.081,129.045,78.58,부산광역시 영도구 신선동3가,2010-11-22,2020-01-31,,
969,북항,35.091,129.127,37.72,부산광역시 남구 용호동,2010-11-22,2020-07-27,,
