구군,맨홀수,설치일자있음,평균매설연수,중앙매설연수,노후30비율,불량률,연말초입력비율,하한값비율
북구,5655,5464,15.4,9.4,18.6,0.39,26.1,7.9
해운대구,6145,6063,13.2,8.2,0.9,0.08,13.3,0.3
강서구,12949,12852,13.0,11.0,0.0,0.17,22.8,0.0
금정구,5887,5591,12.0,9.8,2.9,0.31,41.5,2.6
영도구,1719,1678,11.6,11.1,1.3,0.23,8.1,1.3
사상구,6736,6702,11.1,10.1,3.4,0.62,3.8,0.7
서구,1326,1301,10.7,7.9,2.7,0.15,4.0,0.2
기장군,13719,13261,10.4,8.0,4.3,0.31,24.4,4.2
수영구,2899,2856,10.2,7.5,5.3,0.03,11.8,3.1
부산진구,11942,11827,9.7,8.0,2.3,0.34,36.3,2.3
사하구,10865,10841,9.1,5.0,6.3,0.17,9.1,1.3
동래구,6162,6120,8.6,7.1,1.7,0.19,26.6,0.2
연제구,5184,4989,8.6,6.8,0.8,0.15,28.0,0.3
남구,5254,5202,8.2,8.0,1.1,0.13,24.2,0.9
중구,1253,1247,8.1,6.0,0.2,0.48,54.2,0.2
동구,2926,2914,6.1,6.0,0.2,0.31,46.8,0.2
