구군,행정동,adm_cd,맨홀수,설치일자있음,평균매설연수,중앙매설연수,노후30비율,불량률,연말초입력비율,하한값비율,신뢰도
강서구,가덕도동,21120580,615,604,5.9,1.6,0.0,0.16,19.3,0.0,높음
강서구,가락동,21120550,47,46,12.4,12.0,0.0,0.0,93.6,0.0,보통
강서구,강동동,21120530,578,575,17.0,23.6,0.0,0.0,0.2,0.0,높음
강서구,녹산동,21120561,6546,6487,13.5,12.0,0.0,0.2,38.3,0.0,높음
강서구,대저1동,21120510,1559,1551,17.4,21.8,0.0,0.13,2.4,0.0,높음
강서구,대저2동,21120520,386,386,8.1,5.7,0.0,0.0,1.0,0.0,높음
강서구,명지1동,21120590,2458,2456,7.7,8.5,0.0,0.24,1.9,0.0,높음
강서구,명지2동,21120600,406,395,23.6,25.0,0.0,0.0,46.3,0.0,높음
강서구,신호동,21120562,354,352,21.4,23.5,0.0,0.0,0.0,0.0,높음
금정구,구서1동,21110690,514,511,13.2,9.8,2.0,0.0,4.3,1.9,높음
금정구,구서2동,21110700,429,418,17.5,15.8,3.6,0.0,3.5,3.5,높음
금정구,금사회동동,21110730,331,330,11.7,10.0,3.3,0.0,4.2,0.0,높음
금정구,금성동,21110710,430,430,9.7,6.0,0.0,1.63,53.0,0.0,높음
금정구,남산동,21110680,1017,1009,9.5,5.0,2.3,0.1,64.1,2.3,높음
금정구,부곡1동,21110570,74,72,13.0,7.1,11.1,0.0,10.8,10.8,보통
금정구,부곡2동,21110580,259,252,10.0,7.1,0.4,0.0,29.7,0.4,높음
금정구,부곡3동,21110590,333,318,17.1,15.8,6.3,0.0,10.5,6.0,높음
금정구,부곡4동,21110600,150,149,9.4,7.1,2.7,0.0,4.0,2.7,높음
금정구,서1동,21110510,25,25,6.0,6.0,0.0,0.0,88.0,0.0,낮음(n<30)
금정구,서2동,21110520,40,40,6.7,7.1,0.0,0.0,5.0,0.0,보통
금정구,서3동,21110720,10,10,15.9,18.0,0.0,0.0,30.0,0.0,낮음(n<30)
금정구,선두구동,21110640,698,535,14.5,12.0,9.5,0.29,61.7,7.3,높음
금정구,장전1동,21110610,525,521,9.0,9.8,0.4,0.76,48.8,0.4,높음
금정구,장전2동,21110740,515,474,9.0,6.0,0.0,0.58,73.4,0.0,높음
금정구,청룡노포동,21110670,537,497,15.4,17.0,3.6,0.19,55.1,3.4,높음
기장군,기장읍,21510110,3048,2856,16.1,10.3,18.3,0.72,20.1,17.2,높음
기장군,일광읍,21510111,2426,2394,8.0,6.0,1.2,0.0,29.3,1.2,높음
기장군,장안읍,21510120,3763,3578,6.5,6.0,0.6,0.29,9.0,0.6,높음
기장군,정관읍,21510130,2931,2903,11.8,12.0,0.0,0.27,29.5,0.0,높음
기장군,철마면,21510330,1551,1530,9.7,10.3,0.1,0.13,52.7,0.1,높음
남구,감만1동,21070620,72,59,14.5,12.0,3.4,0.0,5.6,2.8,보통
남구,감만2동,21070630,45,44,12.3,12.5,0.0,0.0,0.0,0.0,보통
남구,대연1동,21070700,355,355,8.2,8.0,0.6,0.0,0.6,0.6,높음
남구,대연3동,21070530,644,629,9.1,8.0,2.4,0.16,17.7,0.6,높음
남구,대연4동,21070540,276,275,8.2,8.0,1.5,0.0,5.1,1.4,높음
남구,대연5동,21070550,438,438,7.7,8.0,0.0,0.0,9.4,0.0,높음
남구,대연6동,21070560,344,342,6.9,7.0,0.0,0.0,48.5,0.0,높음
남구,문현1동,21070660,310,308,4.9,4.0,0.0,0.0,93.2,0.0,높음
남구,문현2동,21070670,391,388,8.7,6.0,0.5,0.77,81.3,0.5,높음
남구,문현3동,21070680,400,400,5.4,4.0,0.0,0.0,41.0,0.0,높음
남구,문현4동,21070690,425,425,4.8,4.0,0.2,0.0,4.0,0.2,높음
남구,용당동,21070610,385,383,7.3,5.3,0.3,0.0,0.3,0.3,높음
남구,용호1동,21070570,478,476,12.7,8.0,1.3,0.42,22.6,1.3,높음
남구,용호2동,21070580,117,116,10.4,8.0,3.4,0.0,6.8,3.4,높음
남구,용호3동,21070590,234,226,8.5,8.0,0.0,0.0,1.3,0.0,높음
남구,용호4동,21070600,144,144,15.6,12.3,11.1,0.0,12.5,11.1,높음
남구,우암동,21070710,196,194,7.1,4.4,3.1,0.51,3.1,3.1,높음
동구,범일1동,21030710,426,426,6.5,6.0,1.2,0.0,81.2,1.2,높음
동구,범일2동,21030660,276,275,12.6,15.4,0.0,0.0,33.0,0.0,높음
동구,범일5동,21030680,95,95,5.9,6.0,0.0,0.0,55.8,0.0,보통
동구,수정1동,21030560,98,98,3.3,3.2,0.0,0.0,0.0,0.0,보통
동구,수정2동,21030570,283,283,6.0,6.0,0.0,0.35,78.4,0.0,높음
동구,수정4동,21030590,126,126,3.8,3.2,0.0,0.0,4.0,0.0,높음
동구,수정5동,21030600,206,206,5.9,6.0,0.0,0.49,99.5,0.0,높음
동구,좌천동,21030700,309,308,6.4,6.0,0.0,0.0,88.0,0.0,높음
동구,초량1동,21030510,204,194,5.7,6.0,0.0,0.0,74.0,0.0,높음
동구,초량2동,21030520,179,179,3.3,3.2,0.0,0.56,7.8,0.0,높음
동구,초량3동,21030530,539,539,5.7,3.2,0.0,0.37,1.9,0.0,높음
